Time:128Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
24.0546875000,6,4274.4873046875,4282.3076171875,4310.7690429688,4321.5385742188,4256.2822265625,4287.9487304688,4168.5898437500,4291.5385742188,4285.6411132813,2901.2819824219,4304.2309570313,4279.6152343750,4216.4101562500,3545.8974609375,,,
24.0625000000,6,4274.4873046875,4284.6152343750,4309.4873046875,4318.8461914063,4254.4873046875,4290.0000000000,4167.8203125000,4289.3588867188,4286.9228515625,2906.9230957031,4297.8203125000,4278.3334960938,4215.7690429688,3540.3845214844,,,
24.0703125000,6,4272.9487304688,4283.2050781250,4308.0771484375,4314.1025390625,4255.5126953125,4294.8715820313,4170.0000000000,4291.1538085938,4287.0512695313,2915.6411132813,4302.3076171875,4278.9741210938,4216.6665039063,3544.4870605469,,,
24.0781250000,6,4271.6665039063,4281.0258789063,4307.8203125000,4314.2309570313,4257.0512695313,4292.9487304688,4171.4101562500,4294.1025390625,4284.7436523438,2921.2819824219,4307.0512695313,4279.8715820313,4217.4360351563,3549.1025390625,,,
24.0859375000,6,4274.8715820313,4280.8974609375,4308.8461914063,4315.3847656250,4257.4360351563,4289.2309570313,4168.5898437500,4294.2309570313,4283.3334960938,2925.6411132813,4300.7690429688,4278.3334960938,4216.4101562500,3545.2563476563,,,
24.0937500000,6,4275.5126953125,4280.8974609375,4308.2050781250,4315.5126953125,4256.4101562500,4288.3334960938,4168.7177734375,4289.6152343750,4284.1025390625,2932.9487304688,4296.5385742188,4276.9228515625,4215.2563476563,3540.5129394531,,,
24.1015625000,6,4271.6665039063,4281.4101562500,4305.8974609375,4313.0771484375,4254.6152343750,4287.9487304688,4170.7690429688,4288.0771484375,4284.7436523438,2938.4614257813,4299.3588867188,4278.3334960938,4216.5385742188,3543.2050781250,,,
24.1093750000,6,4270.3847656250,4282.0512695313,4305.1284179688,4313.7177734375,4256.7949218750,4288.5898437500,4169.8715820313,4289.7436523438,4284.4873046875,2945.0000000000,4300.8974609375,4278.7177734375,4218.0771484375,3543.8461914063,,,
24.1171875000,6,4272.5639648438,4280.7690429688,4306.5385742188,4313.5898437500,4259.3588867188,4287.1796875000,4171.2822265625,4287.5639648438,4284.2309570313,2952.3076171875,4297.4360351563,4276.7949218750,4215.8974609375,3540.8974609375,,,
24.1250000000,6,4272.0512695313,4280.5126953125,4309.2309570313,4313.7177734375,4257.3076171875,4286.5385742188,4173.3334960938,4287.9487304688,4285.0000000000,2957.3076171875,4299.1025390625,4277.5639648438,4215.3847656250,3540.5129394531,,,
